NOMBRE,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PCM1,SINAP,,,
Grutas de Cacahuamilpa,Centro y Eje Neovolcánico,1600,1600,0,4/23/1936,4/23/1936,4/22/2009,NA,0,0,
Huatulco,"Frontera Sur, Istmo y Pacífico Sur",11890.98,6374.98,5516,7/24/1998,7/24/1998,12/2/2002,SINAP,1,1,
Insurgente Miguel Hidalgo y Costilla,Centro y Eje Neovolcánico,1889.96563,1889.96563,0,9/18/1936,9/18/1936,5/21/2019,NA,0,0,
Insurgente José María Morelos,Occidente y Pacífico Centro,7191.769293,7191.769293,0,2/22/1939,2/22/1939,NA,NA,0,0,
Isla Contoy,Península de Yucatán y Caribe Mexicano,5126.2595,230,4896.2595,2/2/1998,2/2/1998,7/9/2015,SINAP,1,1,
Isla Guadalupe,Península de Baja California y Pacífico Norte,476971.2016,26276.97262,450694.229,4/25/2005,4/25/2005,6/17/2011,SINAP,1,1,
Isla Isabel,Occidente y Pacífico Centro,194.17,194.17,0,12/8/1980,12/8/1980,6/16/2006,SINAP,0,1,
Isla San Pedro Mártir,Noroeste y Alto Golfo de California,30165.23762,126.988701,30038.24892,6/13/2002,7/29/2003,2/1/2011,SINAP,1,1,
"Islas La Pajarera, Cocinas, Mamut, Colorada, San Pedro, San Agustín, San Andrés y Negrita y los Islotes Los Anegados, Novillas, Mosca y Submarino",Occidente y Pacífico Centro,1981.43932,1981.43932,0,6/13/2002,6/13/2002,6/14/2011,SINAP,0,1,
Iztaccíhuatl-Popocatépetl,Centro y Eje Neovolcánico,39819.086,39819.086,0,11/8/1935,2/11/1992,4/2/2013,NA,0,0,
Janos,Norte y Sierra Madre Occidental,526482.4267,526482.4267,0,12/8/2009,12/8/2009,11/22/2012,SINAP,0,0,
La Primavera,Occidente y Pacífico Centro,30500,30500,0,3/6/1980,6/7/2000,5/22/2001,NA,0,0,
Lacan-Tun,"Frontera Sur, Istmo y Pacífico Sur",61873.96025,61873.96025,0,8/21/1992,8/24/1992,NA,SINAP,0,0,
Lago de Camécuaro,Occidente y Pacífico Centro,5.426779,5.426779,0,3/8/1941,3/8/1941,NA,NA,0,0,
Lagunas de Chacahua,"Frontera Sur, Istmo y Pacífico Sur",14896.0734,14896.0734,0,7/9/1937,7/9/1937,11/11/2013,NA,0,1,
Lagunas de Montebello,"Frontera Sur, Istmo y Pacífico Sur",6425.4927,6425.4927,0,12/16/1959,12/16/1959,12/18/2009,NA,0,1,
Lagunas de Zempoala,Centro y Eje Neovolcánico,4790,4790,0,11/27/1936,5/19/1947,3/8/2011,SINAP,0,1,
Las Huertas,Occidente y Pacífico Centro,167.01,167.01,0,6/23/1988,6/23/1988,NA,NA,0,0,
Lomas de Padierna,Centro y Eje Neovolcánico,1161.21147,1161.21147,0,4/22/1938,4/22/1938,NA,NA,0,0,
Los Mármoles,Centro y Eje Neovolcánico,23150,23150,0,9/8/1936,9/8/1936,NA,NA,0,0,
Los Novillos,Noreste y Sierra Madre Oriental,38.214086,38.214086,0,6/18/1940,6/18/1940,NA,NA,0,0,
Los Remedios,Centro y Eje Neovolcánico,400.163196,400.163196,0,4/15/1938,4/15/1938,NA,NA,0,0,
Maderas del Carmen,Noreste y Sierra Madre Oriental,208381.15,208381.15,0,11/7/1994,11/7/1994,6/6/2012,SINAP,0,0,
La Montaña Malinche o Matlalcuéyatl,Centro y Eje Neovolcánico,46112.24142,46112.24142,0,10/6/1938,10/6/1938,4/3/2013,NA,0,0,
Manglares de Nichupté,Península de Yucatán y Caribe Mexicano,4257.49854,4257.49854,0,2/26/2008,2/26/2008,1/22/2015,NA,0,1,
Mapimí,Noreste y Sierra Madre Oriental,342387.9917,342387.9917,0,7/19/1979,11/27/2000,10/24/2006,SINAP,0,0,
Marismas Nacionales Nayarit,Occidente y Pacífico Centro,133854.3907,133854.3907,0,5/12/2010,5/12/2010,4/3/2013,SINAP,0,1,
Meseta de Cacaxtla,Noroeste y Alto Golfo de California,50862.3125,50862.3125,0,11/27/2000,11/27/2000,10/29/2015,NA,0,1,
Molino de Flores Netzahualcóyotl,Centro y Eje Neovolcánico,45.662124,45.662124,0,11/5/1937,11/5/1937,NA,NA,0,0,
Montes Azules,"Frontera Sur, Istmo y Pacífico Sur",331200,331200,0,1/12/1978,6/7/2000,11/16/2000,SINAP,0,0,
Nahá,"Frontera Sur, Istmo y Pacífico Sur",3847.41595,3847.41595,0,9/23/1998,9/23/1998,1/7/2009,NA,0,0,
Ocampo,Noreste y Sierra Madre Oriental,344238.2333,344238.2333,0,6/5/2009,6/5/2009,6/5/2015,SINAP,0,0,
Otoch Ma'ax Yetel Kooh,Península de Yucatán y Caribe Mexicano,5367.4235,5367.4235,0,6/5/2002,7/29/2003,11/6/2009,NA,0,0,
Palenque,"Frontera Sur, Istmo y Pacífico Sur",1771.950122,1771.950122,0,7/20/1981,7/20/1981,NA,NA,0,0,
Papigochic,Norte y Sierra Madre Occidental,222763.8536,222763.8536,0,3/11/1939,1/29/2003,5/22/2017,NA,0,0,
Pico de Orizaba,Planicie Costera y Golfo de México,19750.005,19750.005,0,1/4/1937,1/4/1937,7/9/2015,NA,0,0,
Pico de Tancítaro,Occidente y Pacífico Centro,23405.92096,23405.92096,0,7/27/1940,8/19/2009,4/2/2013,NA,0,0,
Rayón,Occidente y Pacífico Centro,25.2107,25.2107,0,8/29/1952,5/8/1954,NA,NA,0,0,
Ría Lagartos,Península de Yucatán y Caribe Mexicano,60347.8271,60347.8271,0,5/21/1999,5/21/1999,4/12/2000,SINAP,0,1,
Río Bravo del Norte,Noreste y Sierra Madre Oriental,2175,2175,0,10/21/2009,10/21/2009,4/3/2013,SINAP,0,0,
Sacromonte,Centro y Eje Neovolcánico,43.734227,43.734227,0,8/29/1939,8/29/1939,NA,NA,0,0,
Sierra de Álamos-Río Cuchujaqui,Noroeste y Alto Golfo de California,92889.69415,92889.69415,0,7/19/1996,7/19/1996,6/5/2015,SINAP,0,0,
Sierra de Huautla,Centro y Eje Neovolcánico,59030.94159,59030.94159,0,9/8/1999,9/8/1999,11/27/2000,SINAP,0,0,
Sierra de Órganos,Norte y Sierra Madre Occidental,1124.656176,1124.656176,0,11/27/2000,11/27/2000,11/22/2012,NA,0,0,
Sierra de San Pedro Mártir,Península de Baja California y Pacífico Norte,72910.68,72910.68,0,4/26/1947,4/26/1947,12/15/2009,SINAP,0,0,
Sierra del Abra Tanchipa,Noreste y Sierra Madre Oriental,21464.4425,21464.4425,0,6/6/1994,6/6/1994,10/31/2013,SINAP,0,0,
Sierra Gorda de Guanajuato,Centro y Eje Neovolcánico,236882.7632,236882.7632,0,2/2/2007,2/2/2007,NA,SINAP,0,0,
Sierra La Laguna,Península de Baja California y Pacífico Norte,112437.0725,112437.0725,0,6/6/1994,6/6/1994,6/19/2003,SINAP,0,0,
Sierra La Mojonera,Noreste y Sierra Madre Oriental,9201.5,9201.5,0,8/13/1981,6/7/2000,6/5/2015,NA,0,0,
Sistema Arrecifal Lobos-Tuxpan,Planicie Costera y Golfo de México,30571.15034,0,30571.15034,6/5/2009,6/5/2009,1/6/2014,SINAP,1,1,
Tiburón Ballena,Península de Yucatán y Caribe Mexicano,145988.1362,0,145988.1362,6/5/2009,6/5/2009,7/9/2015,SINAP,1,1,+
Tula,Centro y Eje Neovolcánico,99.500286,99.500286,0,5/27/1981,5/27/1981,NA,NA,0,0,
Tulum,Península de Yucatán y Caribe Mexicano,664.3213,664.3213,0,4/23/1981,4/23/1981,NA,NA,0,1,
Tutuaca,Norte y Sierra Madre Occidental,436985.6693,436985.6693,0,7/6/1937,12/27/2001,11/1/2013,NA,0,0,
Valle de los Cirios,Península de Baja California y Pacífico Norte,2521987.61,2521987.61,0,6/2/1980,6/7/2000,4/2/2013,SINAP,0,1,
Ventilas Hidrotermales de la Cuenca de Guaymas y de la Dorsal del Pacífico Oriental,Península de Baja California y Pacífico Norte,145564.8084,0,145564.8084,6/5/2009,6/5/2009,2/21/2014,SINAP,1,1,
Volcán Nevado de Colima,Occidente y Pacífico Centro,6554.75,6554.75,0,9/5/1936,12/6/1940,12/14/2009,NA,0,0,
Volcán Tacaná,"Frontera Sur, Istmo y Pacífico Sur",6378.369586,6378.369586,0,1/28/2003,1/28/2003,11/22/2013,SINAP,0,0,
Xicoténcatl,Centro y Eje Neovolcánico,851.303405,851.303405,0,11/17/1937,11/17/1937,NA,NA,0,0,
Yagul,"Frontera Sur, Istmo y Pacífico Sur",1076.06386,1076.06386,0,5/24/1999,5/24/1999,11/27/2007,NA,0,0,
Yaxchilán,"Frontera Sur, Istmo y Pacífico Sur",2621.2523,2621.2523,0,8/21/1992,8/21/1992,7/8/2010,NA,0,0,
Yum Balam,Península de Yucatán y Caribe Mexicano,154052.25,52307.61811,101744.6319,6/6/1994,6/6/1994,10/5/2018,SINAP,1,1,
Zicuirán-Infiernillo,Occidente y Pacífico Centro,265117.7816,265117.7816,0,11/30/2007,11/30/2007,11/6/2013,SINAP,0,0,
"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas","Frontera Sur, Istmo y Pacífico Sur",177546.1703,177546.1703,0,3/20/1979,11/27/2007,4/24/2019,NA,0,0,
Z.P.F.V. la Cuenca Hidrográfica del Río Necaxa,Planicie Costera y Golfo de México,42129.3532,42129.3532,0,10/20/1938,9/9/2002,NA,NA,0,0,
Nevado de Toluca,Centro y Eje Neovolcánico,53590.67863,53590.67863,0,1/25/1936,10/1/2013,10/21/2016,NA,0,0,
Sierra Gorda,Centro y Eje Neovolcánico,383567.4488,383567.4488,0,5/19/1997,5/19/1997,5/8/2000,SINAP,0,0,
