cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
5,27,290,1077,San Ignacio
5,27,726,1132,Valle del Mimbre
5,27,728,1293,Sector ll Vynmsa [Parque Industrial]
5,28,5,786,Puente Negro
5,30,73,3276,Agua Nueva
5,30,114,3242,El Derramadero
5,30,209,052A,San José de la Joya
5,30,210,3488,San José del Alamito
5,30,214,3257,San Juan de la Vaquería
5,30,1144,3191,Sector l Vynmsa [Parque Industrial]
5,30,1146,3276,Alianza [Parque Industrial]
5,31,113,669,Santa Gertrudis
5,33,48,663,Nuevo Mundo
5,33,63,1515,Reynosa
5,33,84,1568,San Miguel
5,33,95,1553,Santa Eulalia
5,33,101,911,Santiago
5,33,107,860,Tacubaya
5,33,110,1515,El Triángulo
5,33,231,752,Presa de Guadalupe (Vida Nueva)
5,35,174,062A,Nuevo Mieleras (La Tres)
5,35,187,2147,Ricardo Flores Magón
5,35,204,2132,Providencia
5,36,5,468,Buenavista
5,36,30,504,La Rosita
5,36,61,504,La Siete (Laguna Seca)
5,38,25,532,La Maroma
5,38,41,513,San Fernando (Dávila)
6,1,9,39,Cuyutlán
6,1,341,001A,Colonia Flor de Coco
6,3,23,33,Nogueras
6,7,70,117,Punta de Agua de Camotlán
6,7,129,117,Francisco Villa
6,9,147,18,Tecolapa
7,1,38,48,El Tumbador
7,1,159,48,Quince de Septiembre
7,3,7,42,Barrio Nuevo
7,3,12,38,Consuelo Ulapa
7,3,24,61,Mariano Matamoros
7,3,68,38,Jiquilpan (Estación Bonanza)
7,3,93,61,Las Lauras
7,3,96,61,Las Mercedes
7,3,120,38,Veinte de Abril
7,4,32,54,La Laguna
7,4,47,004A,Gabino Barrera (Pamala)
7,4,147,105,Los Bambúes
7,4,167,54,El Nance
7,4,225,35,Morelia (Victórico Rodolfo Grajales)
7,6,98,003A,Nueva Victoria
7,7,34,18,San Vicente la Piedra
7,7,52,41,Benito Juárez
7,8,25,34,Salvador Urbina
7,9,46,116,La Gloria
7,9,752,99,Eben Ezer
7,9,786,99,Jardines del Valle
7,10,4,13,El Cercadillo
7,10,12,13,Reforma
7,11,3,25,Chemic
7,11,17,25,San Juan Progreso
7,12,196,37,Unión Hidalgo
7,12,306,56,La Libertad
7,12,761,60,Independencia
7,13,7,002A,Allende Esquipulas
7,13,123,002A,Shashalpa
7,13,131,87,Agua Bendita
7,14,45,12,San Cayetano
7,16,121,006A,Cuauhtémoc
7,16,299,110,Cuauhtemoc Quemado
7,16,300,110,Estación la Unión
7,17,71,226,Mérida
7,17,147,137,Triunfo de Madero
7,17,333,211,Monte de los Olivos (La Mona)
7,17,352,283,Niños Héroes
7,19,26,017A,Corrala
7,19,88,017A,El Prado
7,19,151,199,Santa Rita Uninajab
7,22,5,14,Joltealal
7,22,32,29,Tzomoltón
7,23,8,26,Bautista Chico
7,23,12,26,Callejón
7,23,20,30,Chicumtantic
7,23,24,26,Epalchén
7,23,26,26,Ichintón
7,23,41,30,Las Ollas
7,23,48,30,Pozuelos
7,23,54,30,Saclamantón
7,23,65,26,La Ventana
7,23,89,11,Bautista Grande
7,23,107,30,Va'Alch'En
7,23,112,30,Rasién
7,23,115,30,Ch'Ultic
7,23,127,30,Bashequen
7,25,26,20,San Miguel Buenavista
7,27,17,78,Carrillo Puerto
7,27,23,78,Ribera Cupía (La Mesa)
7,27,28,78,Emiliano Zapata Uno
7,27,56,59,Ribera de Monte Rico (Nacamucuyi)
7,27,63,59,Nucatili
7,27,608,78,Veintiséis de Octubre
7,30,177,105,Piedra Labrada
7,30,243,011A,Vado Ancho
7,30,339,73,Nuevo Portal
7,31,62,47,Centro Chich
7,31,97,121,Jol Cacualá
