cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
11,7,704,71,Villas de Elguera [Fraccionamiento]
11,7,742,14,Cuadritos [Parque Industrial]
11,7,746,032A,Ferropuerto del Bajío [Parque Industrial]
11,8,4,45,Ex-Hacienda de Atotonilquillo
11,8,35,30,Charco Prieto
11,8,232,30,Santa María de Bolaños
11,8,312,79,Rancho Nuevo de Cerritos
11,9,12,273,Guadalupe (San Antonio de Guadalupe)
11,9,26,38,Nopalera
11,9,29,38,Orduña de Abajo
11,9,42,80,San Jerónimo
11,9,167,80,Viñedos de San Miguel [Fraccionamiento]
11,10,11,001A,Piedra Larga
11,10,27,001A,El Espinazo (Loma Bonita)
11,11,17,17,Valencia de Fuentes
11,11,27,17,Manantiales
11,11,50,21,Santa Fe de la Purísima
11,11,56,89,El Zapote
11,12,17,52,Platanar
11,12,52,52,La Regalada
11,12,54,29,Ejido Luz Mazas
11,12,99,52,Colonia Linda Vista
11,12,129,29,Unidad José Camacho
11,13,32,30,Morisquillas
11,13,38,11,Las Palmitas
11,13,55,30,San Agustín
11,13,56,11,San Rafael
11,14,4,201,Adjuntas del Río
11,14,52,61,Cerrito de Esteban
11,14,89,201,La Erre
11,14,100,57,El Gallinero
11,14,109,201,Guanajuatito
11,14,125,017A,Jamaica (San Miguel de Jamaica)
11,14,249,42,El Refugio de Trancas
11,14,361,23,Las Yerbas
11,14,674,19,Carboneras
11,14,729,216,La Luz
11,14,809,57,Carretera a Guanajuato Kilómetro Uno (El Panteón)
11,14,813,146,San Diego del Llanito
11,14,873,57,San Nicolás de la Presa
11,14,880,57,Colonia el Cedro
11,14,881,61,Ejido San José de Badillo
11,15,26,266,Cajones
11,15,104,270,San José del Rodeo
11,15,261,251,Cerrito Frío
11,16,17,32,Paso de Carretas
11,17,119,44,Purísima de Temascatío de Arriba
11,17,124,294,Ejido del Refugio (Los López)
11,17,154,59,San Juan Temascatío
11,17,178,59,La Trinidad de Temascatío
11,17,547,311,El Capulín de Yóstiro
11,17,844,63,Las Presitas
11,17,847,44,Apolo [Parque Industrial]
11,17,851,44,Castro del Río [Parque Industrial Castro del Río]
11,17,873,311,Los Pinos
11,18,11,18,Los Llanitos (El Ranchito)
11,19,29,002A,El Fresno
11,19,53,53,Ojo de Agua de Mendoza
11,19,73,34,El Rosario
11,19,81,68,San Antonio de la Presa (El Fresno)
11,19,84,002A,San Ignacio (San Ignacio Mártir)
11,19,87,49,San Juan de Peña
11,20,267,942,Los Arcos
11,20,335,35,Hacienda Arriba (San José de la Concepción)
11,20,340,004A,Ibarrilla
11,20,365,938,Malagana (San Antonio del Monte)
11,20,389,004A,Ojo de Agua de los Reyes
11,20,409,88,Puerta del Cerro
11,20,410,88,Puerta de San Germán (Morelos)
11,20,412,88,El Ramillete
11,20,424,942,San José del Resplandor (El Capricho)
11,20,439,957,San Isidro de los Sauces
11,20,529,942,Estación Trinidad
11,20,682,957,Los Olivos (El Nuevo Paraíso)
11,20,990,957,Campo Verde
11,20,1112,957,Colonia Maravillas
11,20,1131,957,Campestre Primavera
11,20,1222,938,San Isidro de las Colonias
11,20,1384,961,Fraccionamiento Campestre Lomas del Sur
11,20,1456,957,Advance Puerto Interior
11,20,1461,942,PILBA [Parque Industrial]
11,21,14,13,Las Peñas
11,21,21,13,La Soledad
11,22,40,63,Jesús María
11,22,48,25,El Mezquite
11,22,83,78,La Tinaja
11,22,244,114,San José del Carmen Sur
11,23,73,015A,Corrales de Rábago
11,23,113,015A,La Gavilana
11,23,125,18,Guayabo de Ruiz
11,23,333,130,Viborillas de Suárez
11,23,399,56,Tarengo de Parras
11,23,492,015A,Miravalle
11,25,30,46,San Andrés (San Andrés de Jalpa)
11,25,97,12,Colinas del Real
11,26,15,39,El Escoplo
11,26,53,77,San Clemente
11,26,424,39,El Tejamanil
11,26,446,39,Fraccionamiento Campestre Lomas del Sur
11,27,35,267,Buenavista de Valtierra
11,27,50,55,El Coecillo
11,27,55,40,Cruces
11,27,59,483,El Divisador
11,27,67,17,El Estanco
11,27,99,36,La Ordeña
11,27,114,248,Godoy
11,27,117,21,Los Razos de Ancón
11,27,136,006A,San Juan de Razos
11,27,143,248,Santa Catarina de Peña
11,27,147,006A,Santo Domingo
11,27,151,286,Sotelo
11,27,155,55,El Terrero
11,27,156,267,La Tinaja
11,27,487,248,Rancho los Ramírez (Fracción el Divisador)
11,28,21,48,Gervacio Mendoza
11,28,33,160,Ojo de Agua de Ballesteros
11,28,78,160,Presa de San Juan
11,28,137,90,La Lomita de San José del Carmen
11,28,140,86,El Marquesado
11,29,24,64,El Colorado
11,29,33,64,La Granja
11,29,69,98,Pozo Ademado
11,29,76,64,Puerta de Marcial (San Isidro de la Cruz)
11,29,83,79,Ranchito de los Hernández
11,29,134,98,Zacatequillas
11,29,155,98,Ex-Hacienda Noria de Alday
11,29,175,98,El Cerrito
11,30,23,243,San José de los Barcos
11,30,71,014A,Chirimoya (Estación Chirimoya)
11,30,147,135,Las Negritas
11,30,200,224,El Rosario (La Liebre)
11,30,219,239,San Isidro de Capellanía
11,30,289,46,Miguel Hidalgo (Cueritos)
11,30,765,135,Ejido Hernández Álvarez
11,30,767,014A,La Esperanza
11,30,787,258,El Vergel y Anexos
11,31,6,001A,Arroyo Seco
11,31,9,81,California
11,31,14,81,El Desagüe
11,31,28,81,El Lindero (El Lindero Viejo)
11,31,41,109,La Muralla del Cadillal
11,31,49,81,Plan Libertador (El Quemado)
11,31,50,81,Santa Rita (Puerta de Santa Rita)
11,31,58,109,San Antonio de Funes
11,31,66,109,San Isidro de los Palominos
11,31,68,81,San José de la Calera
11,31,90,81,Fraccionamiento Pedregal de San Juan
11,31,293,001A,Cañada de Soto
11,31,297,81,Santuario de Santa Rita [Residencial Campestre]
11,32,28,21,Cruz de la Maza
11,32,32,21,La Escondida
11,32,41,40,Guadalupe (Hacienda de Guadalupe)
11,32,45,17,El Huizache de Galomo
11,32,61,74,Ojo de Agua del Refugio
11,32,64,21,La Palmita del Cinco de Mayo
11,32,78,21,El Colorado
11,32,80,55,Rancho Nuevo
11,32,152,40,Fátima
11,32,322,17,Nuevo Cinco de Mayo
11,33,75,122,El Jardín
11,33,129,018A,Nuevo Paso de Vaqueros
11,33,141,118,Los Pirules
11,33,203,207,San Nicolás del Carmen
11,33,394,230,Derramadero Segundo (Infiernillo)
11,33,433,230,La Laguna
11,33,529,118,San Pedro
11,33,778,207,San Ignacio
11,34,21,26,Ortega
11,34,32,26,El Tablón
11,35,8,38,El Carmen de Arriba
11,35,14,38,Emiliano Zapata
11,35,19,38,Las Fuentes
11,35,23,80,Guadalupe
11,35,27,42,Jaralillo
11,35,35,80,San Antonio de Morales
11,35,41,38,Ojo de Agua de Otates
11,35,62,38,San José de las Pilas
11,35,80,23,La Tinaja
11,37,86,121,San Francisco Puerta Grande
11,37,89,28,El Refugio de los Sauces
11,37,134,32,Vallejos
11,37,227,13,Mangas de la Estancia
11,37,489,121,San Francisco Puerta Grande (Granja Médico)
11,37,652,28,Lomas del Sur
11,37,653,865,Condado de la Pila Segunda Sección [Fraccionamiento]
11,37,664,121,La Deportiva
11,37,698,850,Las Colinas [Parque Industrial]
11,37,699,28,Puerto Interior
11,39,12,60,La Cuesta
11,39,14,60,La Esperanza
11,39,20,22,Llano Grande
11,39,26,18,Panales Jamaica (Cañones)
11,39,60,56,Providencia de la Esperanza
11,39,81,56,El Fénix
11,39,89,60,Loma Bonita (El Cerrito)
11,40,63,23,Villa Unión
11,41,7,54,El Comal
11,41,15,54,Lagunilla del Encinal
11,41,61,54,Bugambilia
11,42,7,85,El Borrego
11,42,10,102,Cahuageo
11,42,20,32,La Compañía
11,42,69,102,Potrerillo de Torres
11,42,74,102,Puerta de Andaracua
11,42,83,102,Rancho Viejo de Torres
11,42,108,32,San José de Araceo
11,42,113,28,San Manuel Quiriceo
11,42,115,009A,San Nicolás Parangueo
11,42,117,32,Santa Ana
11,42,162,009A,Ranchito de Paredones
11,42,190,102,Puerto de Araceo
11,42,225,28,Crucero de Mogotes
11,42,239,32,Santiago Apóstol
11,42,241,32,El Cerrito Colorado
11,42,248,13,Estancia de San Diego
11,42,325,102,Valle Esmeralda [Residencial]
11,42,337,32,Las Flores
11,42,343,28,Sendai [Parque Industrial]
11,43,7,25,Álamos de Martínez
11,43,45,010A,Milpillas de Santiago
11,43,58,97,Panales
11,43,76,97,Salitrera
11,43,84,97,Tasajillo
11,44,95,18,Rivera del Río
11,44,206,37,El Tajo del Parral (Tenería de Valdez)
11,45,2,72,Adjuntas
11,45,11,68,San Miguel de las Casitas
11,45,19,49,La Laja
11,45,29,68,Puerto de Milagro
11,46,2,135,Agua Fría
11,46,3,31,La Angostura
11,46,36,120,El Moral
11,46,43,12,Palo Alto
11,46,52,12,Puerto del Águila
11,46,63,120,Colonia San Antonio
11,46,78,27,San Vicente Ciénega
11,46,108,12,El Pastor
11,46,127,120,La Cruz del Niño
12,1,129,1973,Los Órganos de San Agustín (El Quemado)
12,1,242,2045,Bella Vista Papagayo
12,1,297,1992,El Arenal
12,1,493,2045,La Arena
12,1,695,1992,El Progreso de Cacahuatepec
12,3,33,033A,Nanche Colorado (El Nanche)
12,3,38,306,San Antonio de los Libres
12,3,42,325,San Jerónimo el Grande
12,4,3,93,Ahuejutla
12,4,14,125,Petlacalancingo
12,6,70,276,Pueblo Nuevo Santa María
12,7,104,184,El Varal (El Brinco)
12,7,111,201,La Concordia
12,8,41,143,San Juan Teocalcingo
12,9,4,47,Cuautipan
12,10,108,137,Vicente Guerrero
12,11,56,257,La Remonta (La Remonta Grande)
12,11,89,312,Junta de los Ríos (Las Juntas)
12,11,147,327,Colonia Vicente Guerrero
12,11,336,280,Villa del Carmen
12,12,92,017A,Plan de Gatica
12,12,163,017A,Ciénega del Sauce
12,13,49,143,Quetzalapa
12,14,11,009A,Llano Real (El Dorado)
12,17,11,91,El Machito de las Flores
12,17,14,87,El Municipio (Tijuanita)
12,17,55,91,Colonia Vicente Guerrero
12,18,23,65,Las Peñas
12,21,74,376,El Camalote
12,22,473,710,Los Bayados
12,24,14,151,Cuescomapa
12,25,12,197,El Líbano
12,26,13,90,San Luis
12,28,168,288,El Pinoral
12,28,208,324,Buena Vista de las Pilas
12,29,26,726,Amojileca
12,29,30,904,Carrizal de la Vía
12,29,97,779,Colonia General Heliodoro Castillo (Chicahuales)
12,32,42,350,Izotepec
12,32,57,350,Ojo de Agua (Ojo de Agua del Progreso)
12,32,75,350,Puerto Gallo [Campamento]
12,34,7,228,Atetetla
12,35,2,598,Ahuehuepan
12,35,3,634,Colonia Álvaro Obregón
12,35,15,615,Platanillo
12,35,17,062A,Rancho del Cura
12,35,197,598,Colonia Ernesto Che Guevara (La Che Guevara)
12,36,8,82,La Reforma
12,36,12,78,La Victoria
12,36,19,82,El Capulín
12,36,24,63,Chimalapa
12,39,44,205,San Juan del Reparo Norte (San Juan del Reparo)
12,39,45,205,San Juan del Reparo Sur (San Juan del Reparo)
12,39,56,205,Chacalapa de Bravos
12,40,354,259,El Ranchito
12,41,75,222,Xkua Xtuti
12,41,124,222,San Juan de las Nieves
12,42,17,022A,Xicomulco
12,43,10,034A,Chilixtlahuaca
12,43,15,299,Juanacatlán
12,44,53,021A,La Villita
12,45,29,293,Las Juntas
12,48,68,632,Coyuquilla Norte
12,48,220,609,Barra de Potosí
12,48,309,613,Puente del Tuzal
12,48,645,632,Arroyo Verde
12,49,16,165,Santa Teresa
12,50,11,019A,Placeritos
12,51,10,229,Huehuecoyotla
12,52,96,387,Mixtecapa
12,52,106,387,Barrio de Guadalupe
12,52,107,387,Cruz Alta
12,53,45,399,Palomar de las Flores
12,54,113,292,El Remance
12,55,40,374,San Miguel Guerrero (San Miguel)
12,55,50,336,Teacalco
12,55,54,410,Temaxcalapa
12,55,118,389,Minas Viejas
12,56,52,259,El Zanate
12,58,36,408,Cruz Blanca
12,58,297,412,Miahuatepec
12,58,324,380,Nueva Esperanza
12,59,15,316,San Miguel Tecuiciapan
12,60,37,177,Tepacoya
12,61,19,210,Zoquiapa
12,62,8,237,Jicayán de Tovar
12,62,9,222,El Limón Guadalupe
12,62,65,241,San José
12,64,9,265,La Montaña
12,64,18,265,El Tamarindo del Río
12,66,3,255,Alpoyecancingo
12,66,28,255,Tototepec (Yozononi)
12,66,30,255,Xalatzala
12,70,5,224,Tehuaxtitlán
12,70,6,192,Xihuitlipa
12,72,5,271,Ayotoxtla
12,72,64,271,Llano Pericón
12,72,120,271,Villa de Guadalupe
12,73,7,442,Alita
12,73,105,508,Pandacuareo
12,73,113,438,La Parota
12,73,136,442,La Quiringucua
12,74,17,238,Topiltepec
12,75,2,358,Ahuelicán
12,76,6,20,Apetzuca
12,76,10,20,Barranca Pobre
12,76,41,20,Xilotlancingo
12,76,43,20,Zontecomapa
12,76,46,20,Agua Fría
12,76,48,20,El Capulín
12,76,52,20,Loma Maguey
12,76,56,20,Zilacayota
12,76,60,20,Barranca Mina
12,76,65,20,Lázaro Cárdenas
12,76,69,20,El Mirador
12,76,70,20,Puerto Buenavista
12,76,72,20,Tierra Colorada
12,76,78,20,El Tejocote
12,76,113,20,Yerba Santa
12,76,139,20,Laguna Seca
12,77,7,009A,La Ceniza (Loma de Romero)
12,81,25,20,San José Vista Hermosa
12,81,41,20,13 de Septiembre
13,1,2,39,Agustín Olvera Sección I [Colonia]
13,1,3,001A,Alcholoya (El Salto de Alcholoya)
13,1,4,39,Almoloya
13,1,8,39,Chauténco
13,1,15,24,Metepec Primero
13,1,16,24,El Milagro San Simón
13,1,23,24,Totoapa el Grande
13,1,30,24,Las Palmas
13,1,31,24,Metepec Segundo
13,1,36,39,Lagunicatlán
13,1,51,24,El Transformador
13,1,61,39,El Cerrito
13,1,66,39,Agustín Olvera Seccíon II [Colonia]
13,2,12,17,San Pedro Tlachichilco
13,2,18,40,Tlaltegco (Venta Quemada)
13,2,21,17,Tlamimilolpa
13,2,27,17,Canales
13,2,34,17,San Martín
13,3,4,29,Boxaxni
13,3,7,29,Cañada Chica Antigua
13,3,11,29,Dajiedhi
13,3,15,90,La Loma
13,3,19,90,El Palomo
13,3,20,33,La Peña
13,3,26,29,Xideje
13,3,44,90,Cuarta Manzana Chicavasco (La Ladera Chicavasco)
13,3,52,33,El Porvenir
13,4,2,26,Ejido de Agua Blanca (Cerro Alto)
13,4,4,26,Calabazas Primera Sección
13,4,5,11,Calabazas Segunda Sección
13,4,8,26,Chichicaxtle
13,4,12,26,Milpa Vieja (Apulco)
13,4,13,11,El Palizar
13,4,14,11,Ejido de Loma Ancha
13,4,15,26,Plan Grande
13,6,6,004A,Cebolletas
13,6,7,004A,Cerro Azul
13,6,9,16,Deca
13,6,27,35,La Salitrera
13,6,29,004A,San Antonio Corrales
13,6,30,16,San Antonio Tezoquipan
13,6,31,20,San Francisco Sacachichilco
13,6,33,004A,San Pablo Oxtotipan
13,6,37,20,La Vega
13,6,40,004A,Xothé
13,6,44,20,Zozea
13,8,51,25,Lomas del Pedregal
13,9,3,18,Chimilpa
13,9,4,18,Fray Francisco
13,9,6,18,El Meje
13,9,8,18,El Rincón
13,10,30,324,Atitalaquia [Parque Industrial]
13,10,32,324,Tula [Parque Industrial]
13,11,29,004A,San Isidro
13,12,6,66,La Cruz (Barrio de la Cruz)
13,12,9,66,La Estancia
13,12,11,66,Montecillos
13,12,15,32,Paso de Amajac
13,12,22,13,Los Sabinos
13,12,37,66,Tezahuapa
13,12,38,66,Agua Limpia
13,12,39,13,Tiltepec
13,12,71,66,Cumbre de Santa Catarina
13,13,2,44,San José Acoculco
13,13,9,44,El Pedregal
13,13,18,44,Praderas del Potrero
13,13,27,10,Santa Cruz del Tezontle
13,14,11,37,Pezmatlán
13,14,20,18,Tula
13,15,4,15,El Bingú
13,15,6,15,El Boxo
13,15,17,15,Piedra Chica
13,15,18,002A,El Potrero
13,15,19,72,Pozuelos
13,15,20,53,San Andrés Daboxtha
13,15,21,53,San Antonio Sabanillas
13,15,22,15,San Clemente
13,15,25,15,San Miguel Jigui
13,15,27,15,Santuario (Santuario Mapethé)
13,15,28,53,El Sauz (Juxmaye)
13,15,31,15,El Vithe
13,15,38,15,La Vega
13,15,39,53,Barrio Quixpedhe
13,15,40,53,Los Peña
13,15,87,49,Cerro Blanco (El Fraile)
13,15,115,15,Palacios
13,16,5,205,El Capulín
13,16,10,27,Chacalapa
13,16,12,205,Guadalupe Victoria
13,16,24,27,Las Puentes
13,16,28,205,San Lorenzo Sayula
13,16,35,205,Tezoquipa
13,16,114,27,Arboledas
13,17,5,24,Bathi
13,17,12,39,San José el Marqués (Escandón)
13,17,13,39,Nueva Santa Lucía
13,17,15,24,San Juan el Sabino
13,17,22,24,Zimapantongo
13,22,4,001A,El Guajolote
13,22,10,001A,El Nopalillo
13,22,19,24,San Miguel Nopalapa
13,22,37,001A,San José Chavarría
13,22,91,24,Xochihuacán [Fraccionamiento]
13,22,92,001A,El Rialejo
13,23,5,17,Dengantzha
13,23,6,17,Doctor José G. Parres
13,24,2,29,Aguacatitla (El Campamento)
13,24,17,33,El Peral
13,24,22,14,San Bartolomé (San Bartolo)
13,24,25,14,San José Ocotillos
13,24,27,48,San Miguel Regla
13,24,34,48,Santo Domingo Agua Zarca
13,24,35,14,Santo Tomás Allende
13,24,36,48,San Lorenzo el Zembo
13,24,38,33,Tlaxocoyucan
13,24,42,48,San Miguel Cacaloapan
13,24,68,14,San Pablo Ojo de Agua
13,24,88,33,San Juan Tlaxocoyucan
13,25,18,11,Chalingo
13,25,28,45,La Mesa
13,25,40,11,Tecoluco Calpan
13,25,60,11,La Puerta
13,25,69,45,La Loma
13,26,13,19,Chiatipán
13,26,39,19,Tlamamala
13,26,41,19,La Ceiba
13,27,20,20,Juntas Chicas
13,27,50,20,Río Beltrán
13,28,28,13,Cochiscuatitla las Chacas
13,28,30,47,Contépec
13,28,31,13,La Corrala
13,28,35,13,Cruztitla
13,28,62,47,Machetla
13,28,75,47,Poxtla Coacuilco
13,28,76,47,Buena Vista
13,28,106,13,Xochitzintla
13,28,220,51,Charco Azul
13,29,5,003A,Boye
13,29,22,44,La Sabinita
13,29,84,78,Santa Bárbara
13,30,2,45,El Alberto
13,30,3,30,Arenalito
13,30,11,11,Cuesta Colorada
13,30,14,26,El Dexthi San Juanico
13,30,16,005A,Dios Padre
13,30,19,30,La Estación
13,30,31,30,Nequeteje
13,30,32,26,El Nith
13,30,33,30,El Olivo
13,30,46,005A,El Tablón
13,30,50,005A,Cañada Chica
13,30,51,30,Chalmita
13,30,75,45,El Deca
13,30,96,005A,Ex-Hacienda de Ocotza
13,30,97,26,General Felipe Ángeles [Colonia]
13,30,146,30,Colonia del Valle Remedios
13,30,153,26,La Joya [Colonia]
13,31,9,42,Coñecito
13,31,11,19,Los Duraznos
13,31,20,57,Minas Viejas
13,31,33,42,San Nicolás
13,35,5,18,Cañada de Flores
13,35,6,18,El Casco
13,35,7,22,Acocul Cebolletas
13,35,17,18,Estación de Apulco
13,35,22,22,Tortugas
13,35,24,22,La Victoria
13,35,26,18,Palo Gacho
13,35,28,18,El Sabino
13,35,31,18,Colonia Nueva Ex-Hacienda de Apulco
13,35,41,18,Ex-Hacienda de Apulco Parte Alta
13,36,15,15,Tuzanapa
13,36,23,34,Apartadero
13,36,28,15,El Enzuelado
13,36,30,34,Llano de las Palmas
13,37,3,50,San Pedro Amajatlán (Amajatlán)
13,37,31,27,El Pedregal de Zaragoza (El Pedregal)
13,37,32,99,El Pirú Tepozotlán (El Pirú)
13,37,44,116,Santa Mónica Autempa
13,37,69,27,San Antonio Tlaxco
13,38,24,001A,Benito Juárez
13,38,32,001A,La Laguna [Barrio]
13,39,3,17,Ciénega Larga
13,41,7,15,Morelos (El Nueve) [Colonia]
13,41,11,119,Tepeitic
13,41,35,002A,3 de Mayo [Colonia]
13,41,46,15,El Colorado
13,42,7,12,Cuxhuacan
13,42,12,27,Malila
13,42,20,12,Tenango
13,42,26,27,Molocotlán
13,44,5,17,El Fresno (Casas Viejas)
13,44,7,21,Los Cerritos
13,44,8,17,Cuaxithi
13,44,13,36,El Jagüey
13,44,30,17,San Sebastián Tenochtitlán
13,44,31,36,La Siempreviva
13,44,33,36,San Sebastián de Juárez
13,44,77,21,Puerto Dañu
13,44,132,36,El Mogote
13,45,2,14,Agua Fría
13,45,12,14,Vicente Guerrero
13,45,19,14,Puentecillas
13,45,23,14,Santa Elena
13,46,16,30,Cuamecaco
13,46,99,30,El Carrizal
13,47,6,38,Canoas
13,48,149,16,Camelia (Barrio la Camelia)
13,48,248,20,Colonia del Valle
13,49,47,28,Plan de Ayala
13,52,4,23,La Concepción
13,52,5,80,Chapultepec de Pozos
13,52,10,19,San Isidro Llano Largo
13,52,14,23,Santa Catarina
13,52,20,23,San Miguel Tornacuxtla
13,52,37,23,Palos Blancos
13,52,50,19,El Chamizal
13,52,52,38,Nueva Tlaxiaca
13,52,70,23,La Loma
13,52,76,23,Banús
13,52,77,23,Paseo de los Solares
13,53,9,004A,Calintla
13,54,13,13,Lagunilla
13,54,17,117,Poxindeje de Morelos
13,54,24,121,Tothie de Rojo Gómez
13,54,36,51,Chichimecas
13,54,39,51,El Mothé
13,54,40,51,Xuchitlán
13,54,54,121,Pacheco Leandro Valle
13,55,4,10,Cerritos
13,55,9,25,Hermosillo Monte Noble
13,55,13,44,Patria Nueva
13,55,14,59,Santa Mónica
13,55,15,003A,El Sitio
13,55,16,59,Xitzo
13,55,18,59,Zaragoza
13,55,21,44,Ejido del Mezquital
13,56,3,015A,Las Lajas
13,56,4,015A,Los Romeros
13,56,7,015A,Tilhuacán
13,56,8,015A,Ventoquipa
13,56,35,145,Emiliano Zapata
13,57,2,002A,Alfajayucan
13,57,7,002A,La Comunidad
13,57,8,002A,Cuatro Palos
13,57,22,002A,Segundas Lajas
13,57,24,002A,El Susto
13,57,26,002A,El Cebadal
13,57,33,53,Texcaltitla
13,57,60,15,Las Palomas
13,57,181,002A,La Rosa
13,57,185,15,Las Palomas Segunda Sección
13,58,4,27,Caltimacán
13,58,9,31,Danghu
13,58,17,31,Portezuelo
13,58,24,31,Santiago Ixtlahuaca
13,58,25,31,Tetzhú
13,59,7,77,Bomanxotha
13,59,11,24,Cuamxhi
13,59,14,43,Gandho
13,59,19,77,La Mesilla
13,59,20,58,Ninthí
13,59,28,58,El Salto
13,59,29,43,San Antonio
13,59,33,24,San Miguel Caltepantla
13,59,59,77,Joñhé
13,59,86,77,El Crucero
13,59,100,24,La Cruz de Piedra
13,60,26,25,Peña Blanca
13,60,34,10,San Nicolás
13,61,3,22,Los Cides
13,61,9,18,Palo Hueco
13,61,29,37,20 de Noviembre [Colonia]
13,62,15,34,El Naranjal
13,62,34,002A,Ixtlapalaco
13,62,61,34,Soyuco
13,63,4,12,Cañada de Madero
13,63,8,12,Ojo de Agua
13,63,15,12,Santa María Magdalena
13,63,17,27,Santiago Tlapanaloya
13,63,18,27,Santiago Tlautla
13,63,25,31,Benito Juárez
13,63,47,31,Presa Escondida 2da. Sección Hacienda la Nopalera
13,63,52,31,Presa Escondida
13,63,99,31,Amanali
13,63,101,31,Tepeji [Parque Industrial]
13,64,3,001A,General Pedro María Anaya
13,64,6,24,La Loma
13,64,14,24,El Retiro
13,65,2,17,Juandhó
13,67,4,11,Santa María Batha
13,67,12,11,Tenango
13,67,13,11,El Tinaco
13,74,4,16,Teocalco
13,75,9,13,Las Pintas
13,76,4,10,Xiteje de Zapata
13,76,18,25,San Francisco Bojay Pueblo
13,76,21,63,San Lucas Teacalco
13,76,61,63,Nueva Santa María [Colonia]
13,76,74,63,Jardines de San Miguel
13,76,87,63,Cerrito del Tepeyac
13,76,101,44,El Crestón
13,77,2,145,Acocul la Palma
13,77,71,164,Pedregal de San Francisco
13,77,98,164,San Francisco
13,77,113,164,Tollancingo
13,80,29,13,Crisolco
13,81,3,59,Atopixco
13,81,5,10,La Cumbre de Alumbres
13,83,15,002A,San Agustín Zapotlán
13,83,130,68,El Mirador Sexta Sección
13,83,135,72,Nueva Esperanza
13,84,2,27,Las Adjuntas
13,84,3,101,El Aguacatito
13,84,4,84,Aguas Blancas
13,84,5,101,Álvaro Obregón (Temuthe)
13,84,12,116,El Cerrote
13,84,27,65,Lázaro Cárdenas (Remedios)
13,84,39,84,Plutarco Elías Calles (Santiago)
13,84,42,116,Puerto Juárez
13,84,90,50,El Álamo
13,84,99,84,Cruz Pinta
13,84,132,65,Tlalpan
13,84,133,65,El Tule
13,84,180,84,Los Pilares
14,1,36,52,Las Motas
14,1,63,52,Tierras Coloradas
14,6,27,82,Labor de Solís
14,6,59,97,La Villita
14,8,26,87,Bajío Seco
14,8,283,91,Santiaguito (Santiaguito de Velázquez)
14,9,43,12,Santa Sofía
14,11,24,44,Soyatlán del Oro
14,11,29,25,Trigo de Alteñas
14,11,30,25,Yerbabuena
14,13,54,34,El Nacimiento
14,14,20,27,Poncitlán
14,14,28,007A,Tultitán
14,15,53,24,El Mentidero
14,15,55,24,Mezquitán (San Francisco de Abajo)
14,15,81,81,Tecomatlán
14,16,43,55,El Maluco
14,16,52,40,Los Once Pueblos
14,16,55,55,Palo Blanco
14,17,97,29,San Pedro
14,17,103,48,Santa Rosalía
14,20,20,24,Chacala
14,31,69,66,Tepizuac
14,32,16,003A,Jalpa
14,33,8,22,Los Arrayanes
14,33,72,75,El Refugio de Vázquez
14,33,95,75,El Terrero de Villareño (Terrero de Carmen)
14,35,300,50,La Trinidad
14,38,45,29,Llano Grande
14,40,85,31,La Venta de Mochitiltic
14,42,15,40,La Estancia de Arriba
14,42,37,006A,Salitre de Abajo
14,42,43,89,San Nicolás de Acuña
14,42,173,006A,Colonia las Granjas
14,43,30,90,La Conchita
14,43,81,86,Las Pilas
14,43,165,33,La Mesa
14,44,3,26,Buenavista
14,45,8,76,Agua Rica
14,45,141,80,Las Trancas
14,45,142,95,Trejos
14,48,128,44,San José de la Paz
14,49,91,111,Huichitila
14,49,195,130,Tazumbos
14,50,14,61,San Pedro Tesistán
14,52,12,32,Los Corrales (Villa de Guadalupe)
14,53,28,241,Buenavista (San Miguel)
14,53,65,294,La Cruz
14,53,79,148,La Escondida
14,53,95,190,La Isla
14,53,135,148,La Merced (La Chona)
14,53,161,260,Las Palomas
14,53,275,237,Santa Inés
14,53,309,241,Torrecillas (El Lindero)
14,53,324,241,La Virgen
14,53,582,003A,El Torreón
14,53,721,167,Dieciocho de Marzo
14,53,772,256,La Palma
14,53,923,415,Rancho Jl [Fraccionamiento Valle de los Reyes]
14,55,4,68,Lo de Guevara (La Loma)
14,55,6,34,Ojo Zarco
14,57,3,39,Las Cuevas
14,58,131,125,La Plata
14,59,12,33,La Cofradía
14,59,32,33,Los Guayabos
14,59,47,33,Puerta del Zapatero
14,59,116,14,Paso de los Arrieros
14,61,190,205,San Andrés Cohamiata
14,61,1103,021A,Mayehekwa Pueblo Nuevo 2
14,62,12,24,La Laja
14,65,3,005A,El Agostadero
14,65,35,005A,Huizaches
14,65,52,005A,El Naranjo
14,65,69,98,El Quemado
14,66,2,23,Agua Caliente
14,66,37,23,La Zapotera
14,67,14,35,El Colorado
14,67,178,1404,Colonia los Robles
14,67,257,20,Ojo de Agua
14,68,23,102,Carreón
14,68,40,102,La Eca
14,68,69,009A,Mezcales
14,68,76,102,La Nancita
14,68,84,102,Pabelo
14,69,59,25,Lázaro Cárdenas (San Diego)
14,69,138,10,Rafael Picazo (Santa Cruz)
14,70,134,1467,Parques del Triunfo
14,73,3,102,Agua de Obispo
14,73,229,13,El Torque (El Agostadero)
14,73,296,117,Mezquitic de la Magdalena
14,77,10,31,Labor de Medina
14,77,17,50,San Isidro Palo Verde
14,77,20,65,Santa Cruz de las Flores
14,80,14,56,El Carrizo
